Data,IPSrc,IPDst,TCPSrc,TCPDst,Host,Protocollo
2024-09-13 12:23:58,172.20.243.187,142.251.209.46,41248,443,,HTTPS
2024-09-13 12:23:58,172.20.243.187,142.251.209.46,41248,443,,HTTPS
2024-09-13 12:23:58,172.20.243.187,142.251.209.46,41248,443,,HTTPS
2024-09-13 12:23:58,142.251.209.46,172.20.243.187,443,41248,,HTTPS
2024-09-13 12:23:58,142.251.209.46,172.20.243.187,443,41248,,HTTPS
2024-09-13 12:23:58,142.251.209.46,172.20.243.187,443,41248,,HTTPS
2024-09-13 12:23:58,142.251.209.46,172.20.243.187,443,41248,,HTTPS
2024-09-13 12:23:58,142.251.209.46,172.20.243.187,443,41248,,HTTPS
2024-09-13 12:23:58,142.251.209.46,172.20.243.187,443,41248,,HTTPS
2024-09-13 12:23:58,142.251.209.46,172.20.243.187,443,41248,,HTTPS
2024-09-13 12:23:58,172.20.243.187,142.251.209.46,41248,443,,HTTPS
2024-09-13 12:23:58,142.251.209.46,172.20.243.187,443,41248,,HTTPS
2024-09-13 12:23:58,142.251.209.46,172.20.243.187,443,41248,,HTTPS
2024-09-13 12:23:58,172.20.243.187,142.251.209.46,41248,443,,HTTPS
2024-09-13 12:23:58,172.20.243.187,142.251.209.46,41248,443,,HTTPS
2024-09-13 12:23:58,142.251.209.46,172.20.243.187,443,41248,,HTTPS
